Price,Address,Bedrooms,Baths,Area
385000,"78 Grange Abbey Grove, Baldoyle, Baldoyle, Dublin 13",3,2,135
850000,"18 Morehampton Terrace, Donnybrook, Donnybrook, Dublin 4",3,1,109
235000,"Apartment 4, The Weavers, Dublin 8",1,1,
325000,"511 Carnlough Road, Cabra West, Cabra, Dublin 7",2,1,60
395000,"1 Sandymount Village Centre, Sandymount Road, Sandymount, Dublin 4",1,1,74
420000,"20 Maolbuille Road, Glasnevin, Dublin 11",3,1,87
250000,"Saint Judes, Bluebell Avenue, Bluebell, Dublin 12",3,2,90
424950,"19 Carriglea Gardens, Kill Avenue, Dun Laoghaire, Co. Dublin",2,2,70
389000,"Saint Annes, Monastery Road, Clondalkin, Dublin 22",3,1,104
495000,"8 Vernon Court, Clontarf, Dublin 3",2,1,74
525000,"6 Muckross Crescent, Perrystown, Perrystown, Dublin 12",3,2,130
575000,"53 Woodside, Dodder Park Road, Rathfarnham, Dublin 14",3,3,101
645000,"43 The Holly, Rockfield, Dundrum, Dublin 16",3,3,129
1300000,"71 Belmont Avenue, Donnybrook, Dublin 4",5,3,180
324950,"16 Great Western Villas, Phibsborough, Phibsborough, Dublin 7",2,1,
390000,"3 Geraldine Terrace, Milltown Road, Milltown, Dublin 6",2,1,65
325000,"28 Sweetman House, Myrtle Drive, The Coast, Baldoyle, Dublin 13",3,2,104
300000,"153 Windmill Park, Crumlin, Dublin 12",2,2,
190000,"Apartment 62, The Academy, Park West, Dublin 12",2,2,62
215000,"61 Broadfield Hall, Tallaght Cross, Tallaght, Dublin 24",2,1,68
575000,"13 Diswellstown Heath, Castleknock, Dublin 15",3,3,113
590000,"70 The Paddocks, Navan Road (D7), Dublin 7",3,3,
279000,"Apartment 186, Skellig Michael, Custom House Harbour Apartments, IFSC, Dublin 1",1,1,40
250000,"48 Eugene Street, Dublin 8",1,1,42
259000,"32 Belmayne Park North, Balgriffin, Balgriffin, Dublin 13",2,1,69
470000,"1 Loftus Lane, Belmont, Sandyford, Dublin 18",2,3,85
800000,"58 Fosterbrook, Stillorgan Road, Booterstown, Co. Dublin",4,3,161
200000,"15a Kenilworth Park, Harold's Cross, Dublin 6",,,
750000,"72 Lower Dodder Road Rathfarnham Dublin 14, Rathfarnham, Dublin 14",3,2,118
420000,"62 Adair Sandymount Avenue Dublin 4, Sandymount, Dublin 4",2,,
520000,"13 Alder Lodge, Farmleigh Woods, Castleknock, Dublin 15",2,2,94
275000,"Apartment 28, Rathmines Town Centre, Rathmines, Dublin 6",1,1,36
525000,"20 Brookwood Grove, Artane, Dublin 5",3,1,105
289950,"64 Cherrywood Drive, Clondalkin, Clondalkin, Dublin 22",3,1,74
345000,"35 Kickham Road, Inchicore, Inchicore, Dublin 8",3,1,80
1500000,"Garrison Cottage, Strand Road, Killiney, Co. Dublin",4,2,180
225000,"6 Saint Canice's Court, Finglas, Finglas, Dublin 11",2,1,65
525000,"4 Grange Grove, Deans Grange, Co. Dublin",3,1,128
230000,"89 Fernleigh Drive, Castleknock, Carpenterstown, Dublin 15",1,1,49
795000,"4 Glenomena Park, Booterstown, Co. Dublin",4,3,137
295000,"12 Páirc Na Cuileann, Ballymun, Ballymun, Dublin 11",4,3,100
235000,"33 Curragh Hall Crescent, Tyrellstown, Tyrrelstown, Dublin 15",2,3,81
495000,"4 The Rise, Carrickmines Manor, Carrickmines, Dublin 18",3,3,
175000,"Rose Cottage, 63 New Vale Cottages, Shankill, Dublin 18",,,008
280000,"46 Hunters Avenue, Hunters Wood, Ballycullen, Dublin 24",2,2,
550000,"17 Merville Road, Stillorgan, Co. Dublin",3,2,
280000,"50 Knockmaree, Chapelizod, Dublin 20",2,2,60
825000,"36 Home Farm Road Drumcondra Dublin 9, Drumcondra, Dublin 9",4,2,145
235000,"Apartment 1, Hillcrest House, Rathgar, Dublin 6",1,1,35
310000,"16 Woodbrook Court, Porterstown, Castleknock, Dublin 15",3,2,
525000,"6 St Patrick's Cottages, Rathfarnham, Dublin 14",3,1,70
245000,"27 The Steeples, Chapelizod, Chapelizod, Dublin 20",2,1,66
595000,"22 Brookwood Park, Artane, Artane, Dublin 5",3,1,102
300000,"Apartment 134, Clifden Court, Dublin 7",2,1,56
295000,"203 Captains Road, Crumlin, Dublin 12",3,,
235000,"207 The Crescent Building, Park West, Dublin 12",2,2,91
